,index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,weighted_score,normalized_weighted_score
4175,4175,ts298837,Badanamu Stories,SHOW,"Badanamu Stories explore themes central to the lives of preschool children but in ways that inject whimsy, imagination, and wonder into the everyday.",2020,TV-Y,13,tt14857600,3.4,6.0,20.4,0.0
91,91,ts63001,High Risk,SHOW,"High Risk is a program aired by the CBS television network as part of its 1988 fall lineup.

The genesis of High Risk was a 1988 strike by members of both the Writers Guild of America, East and Writers Guild of America, west against the Alliance of Motion Picture and Television Producers. Unable to produce regular, scripted series, programs such as High Risk were put together to serve as replacements under fear of a two-year lockout.

The CBS 100% in-house production featured ""high-risk"" stunts and jobs such as Border Patrol agent, automobile repo men, cave explorers, and thrilling roller-coaster testers.

Intended as a two-year commitment, strike or no strike, High Risk received unanimous condemnations and was cancelled after being presented for one night. The show was hosted by Wayne Rogers.",1988,TV-PG,50,tt0094478,3.8,6.0,22.799999999999997,21.05263157894736
2776,2776,tm819641,Match,MOVIE,two brothers whose lives are torn apart by the murder of their father. Match follows the different paths taken by the brothers after the death and the consequences that come from their actions.,2017,,90,tt10546234,4.1,7.0,28.699999999999996,72.80701754385963
4363,4363,tm837802,Luccas Neto in: Children's Day,MOVIE,Luccas Neto is planning a big Children's Day celebration at a school but an unexpected threat puts the party and his friends at risk.,2019,,81,tt14706754,2.5,12.0,30.0,84.2105263157895
1168,1168,tm206698,Ouija: Origin of Evil,MOVIE,"In 1965 Los Angeles, a widowed mother and her two daughters add a new stunt to bolster their s̩ance scam business and unwittingly invite authentic evil into their home. When the youngest daughter is overtaken by the merciless spirit, this small family confronts unthinkable fears to save her and send her possessor back to the other side.",2016,PG-13,99,tt4361050,5.3,6.0,31.799999999999997,100.0
